iter	Passed	Remaining
403	8763	12927
404	8782	12903
405	8802	12878
406	8822	12855
407	8841	12828
408	8861	12805
409	8882	12782
410	8904	12761
411	8924	12737
412	8945	12714
413	8964	12689
414	8985	12666
415	9006	12643
416	9025	12618
417	9045	12594
418	9067	12572
419	9105	12574
420	9125	12550
421	9148	12529
422	9168	12506
423	9187	12481
424	9207	12456
425	9228	12434
426	9249	12411
427	9269	12388
428	9289	12364
429	9309	12340
430	9330	12317
431	9351	12295
432	9371	12272
433	9389	12245
434	9411	12223
435	9430	12199
436	9451	12176
437	9475	12158
438	9495	12134
439	9514	12108
440	9534	12085
441	9553	12061
442	9573	12037
443	9592	12011
444	9611	11987
445	9632	11965
446	9652	11940
447	9672	11917
448	9711	11917
449	9731	11894
450	9752	11871
451	9772	11848
452	9792	11824
453	9813	11801
454	9832	11777
455	9852	11753
456	9873	11731
457	9895	11710
458	9916	11687
459	9936	11664
460	9957	11642
461	9978	11620
462	9995	11592
463	10014	11568
464	10035	11546
465	10055	11522
466	10074	11498
467	10094	11475
468	10114	11451
469	10134	11428
470	10155	11406
471	10175	11383
472	10195	11359
473	10214	11335
474	10234	11311
475	10255	11289
476	10275	11266
477	10296	11244
478	10315	11220
479	10336	11198
480	10358	11176
481	10378	11153
482	10400	11132
483	10419	11107
484	10438	11084
485	10460	11062
486	10480	11039
487	10500	11016
488	10520	10993
489	10540	10971
490	10560	10947
491	10580	10924
492	10599	10900
493	10619	10876
494	10639	10854
495	10659	10831
496	10679	10808
497	10699	10785
498	10719	10761
499	10739	10739
500	10759	10717
501	10780	10694
502	10801	10672
503	10821	10649
504	10841	10626
505	10862	10604
506	10882	10581
507	10903	10559
508	10926	10540
509	10951	10521
510	10976	10504
511	10996	10481
512	11019	10460
513	11040	10439
514	11059	10415
515	11082	10394
516	11102	10372
517	11125	10352
518	11148	10332
519	11168	10309
520	11191	10289
521	11211	10266
522	11234	10246
523	11260	10228
524	11281	10207
525	11307	10189
526	11334	10172
527	11355	10151
528	11377	10129
529	11400	10109
530	11422	10088
531	11446	10069
532	11467	10047
533	11490	10027
534	11510	10004
535	11531	9982
536	11554	9962
537	11576	9940
538	11598	9919
539	11621	9899
540	11643	9878
541	11669	9860
542	11692	9840
543	11713	9818
544	11741	9802
545	11765	9782
546	11786	9760
547	11808	9739
548	11827	9716
549	11852	9697
550	11874	9676
551	11899	9657
552	11921	9636
553	11950	9620
554	11972	9599
555	11997	9580
556	12018	9558
557	12042	9539
558	12065	9518
559	12087	9497
560	12109	9475
561	12128	9452
562	12152	9432
563	12172	9410
564	12193	9387
565	12212	9364
566	12233	9342
567	12253	9319
568	12272	9296
569	12293	9274
570	12314	9252
571	12336	9230
572	12357	9209
573	12377	9186
574	12398	9163
575	12418	9141
576	12439	9119
577	12459	9097
578	12479	9074
579	12499	9051
580	12518	9028
581	12539	9006
582	12557	8981
583	12577	8959
584	12596	8936
585	12615	8912
586	12635	8890
587	12654	8867
588	12674	8843
589	12694	8821
590	12713	8798
591	12734	8776
592	12754	8753
593	12774	8731
594	12794	8708
595	12814	8686
596	12834	8663
597	12853	8640
598	12873	8618
599	12892	8595
600	12912	8572
601	12933	8550
602	12952	8527
603	12974	8506
604	12993	8483
605	13013	8460
606	13032	8437
607	13052	8415
608	13071	8392
609	13092	8370
610	13111	8347
611	13131	8325
612	13150	8302
613	13170	8279
614	13190	8257
615	13210	8235
616	13231	8213
617	13251	8191
618	13271	8168
619	13291	8146
620	13310	8123
621	13330	8101
622	13348	8077
623	13367	8054
624	13388	8033
625	13407	8010
626	13426	7987
627	13446	7965
628	13466	7942
629	13486	7920
630	13505	7897
631	13526	7875
632	13545	7853
633	13564	7830
634	13583	7807
635	13602	7784
636	13622	7762
637	13641	7740
638	13661	7717
639	13681	7695
640	13702	7674
641	13721	7651
642	13741	7629
643	13761	7607
644	13781	7585
645	13801	7563
646	13820	7540
647	13841	7518
648	13860	7496
649	13880	7474
650	13900	7452
651	13918	7428
652	13937	7406
653	13956	7383
654	13976	7361
655	13996	7339
656	14015	7317
657	14035	7295
658	14057	7274
659	14078	7252
660	14097	7230
661	14115	7206
662	14134	7184
663	14154	7162
664	14175	7140
665	14195	7119
666	14215	7096
667	14235	7075
668	14255	7053
669	14275	7031
670	14297	7010
671	14315	6987
672	14335	6965
673	14353	6942
674	14373	6920
675	14393	6898
676	14412	6876
677	14433	6854
678	14452	6832
679	14473	6810
680	14492	6788
681	14513	6767
682	14533	6745
683	14554	6723
684	14573	6701
685	14592	6679
686	14611	6657
687	14634	6636
688	14653	6614
689	14673	6592
690	14693	6570
691	14710	6547
692	14730	6525
693	14749	6503
694	14772	6482
695	14794	6462
696	14815	6440
697	14835	6418
698	14855	6396
699	14878	6376
700	14898	6354
701	14918	6332
702	14938	6311
703	14958	6289
704	14979	6267
705	14999	6246
706	15019	6224
707	15038	6202
708	15061	6181
709	15083	6160
710	15102	6138
711	15122	6116
712	15140	6094
713	15160	6072
714	15180	6050
715	15199	6028
716	15219	6007
717	15241	5986
718	15263	5965
719	15282	5943
720	15301	5921
721	15320	5898
722	15341	5877
723	15361	5855
724	15380	5834
725	15399	5812
726	15420	5790
727	15441	5769
728	15461	5747
729	15480	5725
730	15500	5703
731	15519	5681
732	15538	5660
733	15559	5638
734	15578	5616
735	15598	5595
736	15618	5573
737	15637	5551
738	15658	5530
739	15678	5508
740	15698	5486
741	15717	5465
742	15737	5443
743	15757	5422
744	15776	5400
745	15796	5378
746	15816	5356
747	15835	5335
748	15856	5313
749	15876	5292
750	15896	5270
751	15915	5248
752	15934	5226
753	15953	5205
754	15973	5183
755	15993	5161
756	16013	5140
757	16032	5118
758	16051	5096
759	16072	5075
760	16094	5054
761	16114	5033
762	16133	5011
763	16153	4989
764	16171	4967
765	16190	4946
766	16211	4924
767	16231	4903
768	16251	4881
769	16272	4860
770	16291	4838
771	16311	4817
772	16330	4795
773	16350	4774
774	16371	4752
775	16394	4732
776	16418	4712
777	16437	4690
778	16457	4668
779	16477	4647
780	16495	4625
781	16514	4603
782	16532	4581
783	16551	4560
784	16571	4538
785	16590	4517
786	16610	4495
787	16630	4474
788	16649	4452
789	16669	4431
790	16688	4409
791	16704	4387
792	16723	4365
793	16742	4343
794	16762	4322
795	16782	4301
796	16801	4279
797	16821	4258
798	16841	4236
799	16860	4215
800	16879	4193
801	16898	4172
802	16918	4150
803	16938	4129
804	16958	4107
805	16977	4086
806	16997	4065
807	17017	4043
808	17037	4022
809	17057	4001
810	17076	3979
811	17096	3958
812	17117	3937
813	17137	3916
814	17157	3894
815	17177	3873
816	17195	3851
817	17214	3830
818	17234	3808
819	17254	3787
820	17273	3766
821	17293	3744
822	17313	3723
823	17333	3702
824	17354	3681
825	17373	3659
826	17393	3638
827	17414	3617
828	17433	3596
829	17454	3574
830	17473	3553
831	17501	3534
832	17527	3513
833	17546	3492
834	17569	3471
835	17590	3450
836	17612	3429
837	17632	3408
838	17657	3388
839	17679	3367
840	17699	3346
841	17721	3325
842	17741	3304
843	17759	3282
844	17779	3261
845	17798	3239
846	17818	3218
847	17835	3196
848	17854	3175
849	17876	3154
850	17895	3133
851	17915	3112
852	17934	3090
853	17954	3069
854	17974	3048
855	17993	3026
856	18012	3005
857	18031	2984
858	18051	2963
859	18071	2941
860	18091	2920
861	18111	2899
862	18131	2878
863	18153	2857
864	18173	2836
865	18193	2815
866	18213	2794
867	18233	2772
868	18252	2751
869	18271	2730
870	18291	2709
871	18311	2687
872	18330	2666
873	18351	2645
874	18371	2624
875	18391	2603
876	18412	2582
877	18430	2560
878	18450	2539
879	18470	2518
880	18491	2497
881	18511	2476
882	18531	2455
883	18551	2434
884	18571	2413
885	18589	2391
886	18608	2370
887	18628	2349
888	18648	2328
889	18668	2307
890	18688	2286
891	18707	2265
892	18726	2243
893	18747	2222
894	18767	2201
895	18786	2180
896	18811	2160
897	18831	2138
898	18853	2118
899	18873	2097
900	18891	2075
901	18910	2054
902	18928	2033
903	18948	2012
904	18967	1991
905	18987	1970
906	19007	1948
907	19028	1927
908	19047	1906
909	19067	1885
910	19087	1864
911	19108	1843
912	19128	1822
913	19148	1801
914	19167	1780
915	19189	1759
916	19208	1738
917	19227	1717
918	19247	1696
919	19270	1675
920	19290	1654
921	19309	1633
922	19328	1612
923	19348	1591
924	19369	1570
925	19389	1549
926	19409	1528
927	19429	1507
928	19450	1486
929	19468	1465
930	19488	1444
931	19508	1423
932	19528	1402
933	19550	1381
934	19569	1360
935	19589	1339
936	19608	1318
937	19626	1297
938	19647	1276
939	19666	1255
940	19685	1234
941	19705	1213
942	19724	1192
943	19744	1171
944	19764	1150
945	19784	1129
946	19804	1108
947	19823	1087
948	19845	1066
949	19865	1045
950	19885	1024
951	19906	1003
952	19925	982
953	19946	961
954	19965	940
955	19985	919
956	20005	898
957	20025	877
958	20046	857
959	20065	836
960	20085	815
961	20105	794
962	20124	773
963	20144	752
964	20163	731
965	20183	710
966	20202	689
967	20223	668
968	20239	647
969	20258	626
970	20278	605
971	20297	584
972	20312	563
973	20332	542
974	20351	521
975	20371	500
976	20392	480
977	20411	459
978	20431	438
979	20452	417
980	20471	396
981	20492	375
982	20512	354
983	20532	333
984	20552	312
985	20571	292
986	20592	271
987	20612	250
988	20632	229
989	20650	208
990	20669	187
991	20686	166
992	20707	145
993	20726	125
994	20746	104
995	20763	83
996	20783	62
997	20802	41
998	20822	20
999	20842	0
